CodigoInternoPuntoDescarga,LatitudPuntoDescarga,LongitudPuntoDescarga
100532671,41.1729,1.2279
100572692,38.6473,-8.2123
30109,38.6127,-0.5883
12755,38.1399,-0.9087
100541142,7.8828,-76.6247
92032A,45.6862,12.3254
92183OOM,52.7963,4.7812
88868,48.075,16.3333
40046,43.3548,-4.0518
100577727,43.5719,-5.9286
84486,39.7495,-8.8077
100544701,37.4922,-4.5019
100000053,37.5737,-0.9319
100000004,37.5778,-0.9167
11050,42.1516,-0.4078
89499,45.3417,5.3496
24818269-RUTA1-20,41.3664,2.1646
12455E14,38.1885,-5.0211
100544188,38.7076,-9.2774
100517235,39.6834,-8.7946
89388MI,45.5336,9.1032
C37205,41.2063,1.2426
92422,47.1561,7.4064
88892A,43.4052,5.014
88902AQ,45.7166,4.9628
89390DE51,50.9865,7.4475
100534173,41.8381,12.6549
100551634,40.7544,-4.4206
100565540,40.1725,-3.6685
100575229,41.7043,0.7046
81514,47.0067,-1.1073
30109,38.6125,-0.5885
92461_00RE,52.3203,6.6573
10706EB1,42.0121,1.8434
12868ROQ,36.185,-5.3882
100584511,36.969,-3.7308
10007,41.5967,-1.2674
100575405,40.5603,-3.2618
100552563,40.0206,-3.6089
1806,43.3323,-3.111
C37205,41.2065,1.2427
C28205,41.3551,1.7335
100544702,37.898,-4.7111
100571422,37.2845,-5.6766
100583606,39.9441,-3.1687
100548972,40.102,-3.6594
12510B,41.2185,1.1519
100579302,42.8476,-2.5067
100552407,40.0458,-3.3623
91885E31,42.6547,-2.0041
100553309,40.3968,-3.5811
100536198,42.0694,2.797
100532937,42.7557,-1.6394
100529854,43.3559,-0.3814
100519591,41.528,2.2208
12584_00PA,41.5299,2.2231
100566624,37.4727,-5.9262
100519759,42.4618,-2.4772
100515787,43.272,-2.0549
100516615,41.5506,2.2275
20859M,40.4716,-3.4498
100567771,37.2873,-1.9396
1000,38.6873,-4.1097
24817285-RUTA1-20,41.3664,2.1646
100584396,38.2656,-0.6656
1217,42.429,-2.2743
10642A,41.3926,2.0362
11252,40.5303,-3.4839
100584560,38.7208,-7.9979
100549337,37.3582,-2.338
336653,41.814,-0.7735
12791,37.3857,-5.9167
12165,42.4447,-2.1955
91199IK,48.5041,8.6364
80604,52.2956,4.5792
120838,48.892,2.1779
100581576,41.6769,-3.7142
100584126,38.204,-1.0424
100583030,37.0238,-5.0232
100538101,39.8647,-4.0949
24821601-RUTA1-20,41.3664,2.1646
100518087,38.1902,-1.1041
100583730,37.103,-3.6736
30112,39.5395,-0.3677
1015,37.5744,-0.93
100001418,40.5282,-3.3923
200102111,37.2391,-6.9263
11589,37.4546,-3.9287
87507BAT,40.5915,14.9905
12755,38.1178,-0.9098
40481,43.3945,-5.6589
85274,40.9048,-8.4344
89499_00CA,43.6062,2.2413
1801,38.6865,-4.1127
100529725,39.3776,-6.3501
100500040,41.3361,2.1299
100517379,41.4617,2.2651
100581997,38.8358,-0.4975
100573413,38.9149,-1.8011
24820242-RUTA1-20,41.3664,2.1646
100000005,38.6768,-4.0611
100537223,40.7372,-4.4683
100584125,40.3015,-3.5068
C16205,41.1644,1.159
84052,53.4845,-1.1792
12162,43.2233,-2.0226
10639,41.4971,2.0349
100001211,40.1722,-3.6667
100579273,43.0919,-1.6061
100515893,42.1165,-1.7811
100536380,40.9598,-4.2058
C115205,41.1614,1.1688
100548154,40.4117,-3.5825
100559930,39.6731,-3.0138
100525396,40.0305,-6.0883
100544597,39.6181,-8.8377
2250,7.8828,-76.6247
91909,44.8749,7.3923
80752SS,45.2412,4.2352
100534390,40.0563,-6.2888
1804,43.3486,-8.445
11487SPB3,39.4755,-0.6595
91640A,52.7607,6.9116
10411NS,40.0705,-3.8461
12866SA,42.2141,2.5933
91909,44.8792,7.3954
88902AVG,43.9258,4.8803
90479,45.4558,9.3822
92388,45.5746,10.0123
12851BLU,41.5224,2.4266
100533215,43.4444,-3.8462
100581852,42.3582,-3.6521
86425OV,40.8814,-8.6331
1211,40.1722,-3.6667
1008,43.4202,-3.7712
100542941,43.2261,-2.007
100527419,37.2251,-3.631
87540B,45.6174,9.233
100538545,41.4812,2.0245
82563A,41.1569,-8.4641
88869MG,39.7301,-8.9205
100522097,38.8717,-0.0297
100581851,38.1375,-0.752
100575268,40.0459,-3.6891
92227AD,51.6518,4.3866
90268,49.7703,11.0149
C03205,41.1996,1.2194
100572261,37.3815,-5.9271
100500144,41.6821,-4.745
100520089,43.4255,-3.8653
89089,52.6969,5.2805
100001209,40.303,-3.4686
100532894,42.8312,-1.7852
100518962,43.4592,-5.8515
100579296,41.8475,-2.409
100575270,49.3158,1.0328
90030,48.4111,16.3089
100538427,37.1733,-4.8568
100579870,40.4,-3.5809
100583056,45.8012,4.7643
100535891,40.5109,-3.4086
100500146,42.8646,-2.6538
11480,39.4719,-0.4775
91199,52.0224,8.5349
20026,40.3643,-3.6858
100500565,41.2993,2.021
92573,51.0663,13.7479
83921FR39,46.3592,5.7893
100574300,41.1704,0.9461
100583020,37.6576,-1.6969
70015ES,41.6614,1.8601
10215,41.2482,1.7193
12837GUA,40.6649,-3.1806
12455E14,38.1891,-5.0174
100584322,39.0122,-0.567
100578287,36.9349,-2.4503
100559754,41.8313,-4.6153
100532727,38.6884,-4.1079
89023,51.0897,7.0435
100533295,43.5433,-5.7232
100581876,43.2303,-2.8791
100570580,39.4719,-0.4775
100500612,43.1823,-2.5325
20365MOL,42.3398,-3.7618
200104811,43.2654,-2.9351
84935A,41.369,-8.4058
100564645,43.3581,-3.0519
100563254,39.2673,-8.5545
100515815,43.3955,-4.0275
24822611-RUTA1-20,41.3664,2.1646
100573756,37.3364,-4.3864
100573715,40.1081,-0.0089
12484A,41.4629,1.9636
86206A,51.2962,4.9324
C36205,41.9213,0.1672
100515980,43.309,-2.4683
100566407,39.1761,-3.0099
100563965,46.1621,9.7571
100541336,39.5252,-8.9115
20153A,39.4601,-0.3523
100580221,40.1929,-3.6892
100515896,37.9874,-0.6774
100547379,43.2214,0.0464
100519026,39.8777,-4.0782
100548842,40.9847,-2.5952
90957HAB2,45.951,12.3217
89766B,48.0771,-1.2653
10365,41.447,1.9728
84935A,41.3668,-8.4189
C01205,40.3227,-3.8644
84623RI,49.5015,2.9347
20095EPO,42.1993,-8.6568
91446A,45.6183,9.5498
12626A,-23.4425,-58.4438
83694A,47.8273,12.6411
CBE12205,51.3011,4.3719
20900B,40.6163,-3.2818
100570935,40.6179,-4.6384
1802,37.9786,-1.1339
92461_00BA,52.1626,5.588
100520103,37.1939,-1.9157
11445,41.647,-0.7715
100579450,40.2279,-3.6461
12162,43.2233,-2.0225
89390K,51.4369,9.6619
100547591,41.3361,2.1299
100515803,43.5285,-8.0811
100000028,41.1045,1.212
24818450-RUTA1-20,41.3664,2.1646
100516276,43.1438,-2.9411
100521603,41.5293,-5.5827
12711B,42.0614,-1.6063
100522730,41.7386,-4.6694
24823135-RUTA1-20,41.3664,2.1646
100553581,39.6107,-0.3181
100567470,43.7053,-1.0358
12384A,41.2567,-4.8736
100572721,39.6108,-0.3182
1803,41.1173,1.2546
12641E31,42.8276,-1.5381
83913G,43.6944,6.9706
100581379,41.5129,-5.6376
100515897,43.2809,-1.683
30115,37.4068,-1.9594
100580736,39.0154,-0.576
83913,43.6274,6.9391
100581394,37.8499,-0.7982
24824753-RUTA1-20,41.3664,2.1646
84486,39.7375,-8.8113
92189B,52.031,8.5484
12395U,51.1657,10.4515
100567772,36.943,-2.4632
100531820,41.7115,1.8449
83284B,45.4176,9.0554
03,41.1849,1.21
91675A,39.4659,-8.5489
1808,41.1046,1.2116
100548186,37.2375,-4.5472
100564368,38.9411,-3.9754
88784,45.4148,5.7496
12624E08,41.5535,1.8457
84808B,49.0502,8.5123
81584,45.7029,9.2351
88902BS,46.0894,5.817
91964,45.8466,9.0042
83081,45.8352,10.9591
100584957,40.3027,-3.5033
100564919,37.3064,-6.8717
100526235,40.4441,-3.4857
100544566,41.172,-8.5134
100574500,40.3929,-3.411
12143,37.6978,-6.5948
100539226,42.6675,-1.665
10374,41.2108,1.187
12510B,41.2184,1.1519
100540826,38.1885,-5.0182
100500099,41.4831,2.0285
100515856,42.4531,-2.4122
20130,36.6573,-6.1306
100585070,42.8023,-5.6547
89798,44.0905,12.3658
81568F03,48.1597,3.289
10411PLA,41.5738,2.2102
12768D,42.2295,-2.0898
91886PL,52.4088,17.1807
92092,40.3617,-8.0282
100562144,40.4951,-3.6505
1001,42.0091,-4.5378
100517388,42.9468,-2.9002
100575040,41.7236,-2.3848
100584145,40.3715,-3.6881
100548285,40.2912,-3.5143
100524716,37.846,-0.8048
100515865,38.2827,-0.7132
24825881-RUTA1-20,41.3664,2.1646
100530298,45.1921,0.6875
100582872,38.9779,-5.7414
100572616,39.6589,-2.3908
100520119,40.3751,-3.4707
100582505,40.5208,-5.6712
30048,37.9489,-1.192
12253,42.8306,-1.7011
89390AT3,49.5037,11.4967
85419,39.6291,-8.8565
87488,39.7717,-8.8244
12207,41.4904,2.1942
83913HJ,43.6112,6.9524
1001,42.0048,-4.5426
100500184,38.8232,-0.5511
10411JOF,41.3314,2.047
100545411,37.575,-7.9781
100515980,43.2208,-3.1238
92286,39.6023,-8.8166
100500099,41.4971,2.0349
100541046,43.5737,-1.0812
88871,41.3155,-8.7206
100516563,40.3895,-3.4084
100574777,42.8924,-2.1668
100539610,40.7675,-3.1432
100585255,43.3085,-2.8059
91959B03,51.2416,5.2553
89239A,42.7798,2.7987
100546478,38.3713,-4.8453
10215,41.2545,1.726
87107B,45.7385,4.8376
C01205,40.3249,-3.8643
100559805,38.8917,-6.6214
100516135,42.2297,-2.0881
49216,43.275,-1.7121
100560368,41.3523,-8.5405
100528801,40.3361,-3.4677
1492,40.4604,-3.6471
100515797,42.4032,-2.1205
100536355,40.3469,-3.4744
89499_00CA,45.3417,5.3496
12741B,40.658,-3.1893
100531907,42.4832,-5.513
90196,50.4318,2.8798
C16205,41.1653,1.1774
100582445,38.3261,-0.7748
100573428,38.1776,-1.0499
100551403,38.7602,-3.385
100569531,37.8211,-3.3712
88578,39.7459,-9.0269
84486,39.7456,-8.8049
80619NL,51.9325,5.5881
89799_06SE,45.1479,7.7541
100581473,38.7358,-2.4681
100578698,41.542,2.0396
100578451,40.8001,-8.3838
100001426,39.4809,-0.5702
100001414,45.6875,4.9057
100574418,37.4035,-1.5828
100515794,41.8816,-0.7628
1000,38.6853,-4.1078
100583760,41.7516,-2.5443
92016,50.7879,7.235
92189G,52.1009,8.6328
89390K,51.437,9.6616
91237,46.26,5.1668
100532702,43.3238,-3.1277
100001430,39.0586,-8.8906
100516528,42.2098,-8.7432
100573756,37.3369,-4.3858
100538875,40.3298,-3.37
88902BI,48.3691,-3.5242
10964,41.5389,1.8707
12821A,41.4683,-2.5313
100532677,43.3502,-8.4399
100579305,43.1196,2.0364
