CodigoInternoPuntoCarga,LatitudPuntoCarga,LongitudPuntoCarga
C03205,41.1922,1.2064
100585592,38.2692,-1.4616
24833261-RUTA2-20,45.6368,8.8342
24832810-RUTA2-20,45.6368,8.8342
12510B,41.216,1.1519
100579305,43.1196,2.0364
12768A,41.9996,2.2733
100532937,42.7557,-1.6394
100554116,38.9041,-9.1914
100581800,41.4836,-2.5297
100559754,41.8313,-4.6153
100562736,38.2975,-0.5783
1218,38.9819,-0.5494
100570369,42.888,-7.6976
100560325,40.3134,-3.7356
100001016,38.666,-4.0485
100580019,39.3746,-0.4037
100500264,42.7369,-8.6587
100522527,39.4173,-0.3753
100572054,38.7156,0.0519
24834940-RUTA2-20,48.1443,11.7037
100516969,37.2145,-3.6961
100540361,40.1173,-8.497
100585585,37.0052,-4.3292
100581576,41.6769,-3.7142
100562734,39.7737,-8.1099
100584118,41.1148,1.2004
16,41.1646,1.1705
100572616,39.6589,-2.3908
100571355,37.1469,-7.8352
100585577,38.7116,-9.2839
100553870,37.4798,-4.4419
36,41.8757,0.2442
100544597,39.6181,-8.8377
1200,38.8239,-0.5487
24833929-RUTA2-20,45.6368,8.8342
24834063-RUTA2-20,45.6368,8.8342
24834863-RUTA2-20,45.6368,8.8342
24833624-RUTA2-20,45.6368,8.8342
24836488-RUTA2-20,45.6368,8.8342
24836493-RUTA2-20,45.6368,8.8342
100560325,40.2915,-3.7386
100545228,37.637,-7.9844
100564138,42.1925,0.3373
100500040,41.3361,2.1299
100547358,43.9677,1.3395
1214,40.6097,-7.7268
100533215,43.4444,-3.8462
100522730,41.7386,-4.6694
C03205,41.1996,1.2194
100579570,41.7882,-1.9804
12347TB,41.1142,1.1825
100519747,37.2336,-3.6936
100001005,43.1239,-7.6322
C40205,41.1046,1.2351
100559310,42.1601,-8.6221
100518376,42.9108,-8.5192
100500161,41.1636,1.1932
24818942-RUTA2-20,45.6368,8.8342
24837354-RUTA2-20,45.6368,8.8342
24838165-RUTA2-20,45.6368,8.8342
24838864-RUTA2-20,45.6368,8.8342
24839992-RUTA2-20,45.6368,8.8342
1000,38.6869,-4.1086
100516673,39.5629,-0.6336
100523486,41.7257,0.5919
100585576,43.4167,-3.8724
1420,40.2619,-3.7368
100515797,42.3415,-2.0845
100515893,42.1165,-1.7811
1432,38.6779,-9.197
100585570,40.796,-3.6932
24837040-RUTA2-20,45.6368,8.8342
24839950-RUTA2-20,45.6368,8.8342
24840775-RUTA2-20,45.6368,8.8342
24840763-RUTA2-20,45.6368,8.8342
100001401,42.2594,-8.6733
100552563,40.0206,-3.6089
100583890,39.5087,-1.3034
100001008,43.4202,-3.7712
100574777,42.8924,-2.1668
24832849-RUTA2-20,45.6368,8.8342
24833930-RUTA2-20,45.6368,8.8342
24838889-RUTA2-20,45.6368,8.8342
24840761-RUTA2-20,45.6368,8.8342
100585681,42.5711,-6.8109
28,41.3551,1.7328
24840169-RUTA2-20,45.6368,8.8342
24840365-RUTA2-20,45.6368,8.8342
100551101,40.5005,-3.6825
100584041,38.1318,-1.0522
100580270,38.7379,-0.8916
100545694,41.0696,-8.461
100537544,38.3409,-0.6084
100563548,41.258,1.1648
09,41.1082,1.194
24840781-RUTA2-20,45.6368,8.8342
24841170-RUTA2-20,45.6368,8.8342
16,41.1658,1.1828
115,41.1103,1.2003
C115205,41.1103,1.2003
C16205,41.1658,1.1828
24840760-RUTA2-20,45.6368,8.8342
24844694-RUTA2-20,45.6368,8.8342
100585816,37.7706,-1.2181
100519026,39.8777,-4.0782
24842508-RUTA2-20,49.5384,8.4106
1407,36.1813,-5.4357
100579296,41.8475,-2.409
100541551,39.8896,4.2642
100549929,41.7277,0.7424
